,./ds-dl-dms-cdc-comtek-master-trigger-v06062021/ds-dl-dms-cdc-controller-v06062021.py.txt,./ds-dl-dms-cdc-comtek-master-trigger-v06062021/ds-dl-dms-cdc-incremental-load-v06062021.py.txt,./ds-dl-dms-cdc-comtek-master-trigger-v06062021/ds-dl-dms-cdc-initial-load-v06062021.py.txt,./ds-dl-dms-cdc-comtek-master-trigger-v08102021/ds-dl-dms-cdc-controller-v08102021.py.txt,./ds-dl-dms-cdc-comtek-master-trigger-v08102021/ds-dl-dms-cdc-incremental-load-v08102021.py.txt,./ds-dl-dms-cdc-comtek-master-trigger-v08102021/ds-dl-dms-cdc-initial-load-v08102021.py.txt,./ds-dl-dms-cdc-comtek-transaction-trigger-v06062021/ds-dl-dms-cdc-controller-v06062021.py.txt,./ds-dl-dms-cdc-comtek-transaction-trigger-v06062021/ds-dl-dms-cdc-incremental-load-v06062021.py.txt,./ds-dl-dms-cdc-comtek-transaction-trigger-v06062021/ds-dl-dms-cdc-initial-load-v06062021.py.txt,./ds-dl-dms-cdc-comtek-transaction-trigger-v08102021/ds-dl-dms-cdc-controller-v08102021.py.txt,./ds-dl-dms-cdc-comtek-transaction-trigger-v08102021/ds-dl-dms-cdc-incremental-load-v02032022.py.txt,./ds-dl-dms-cdc-comtek-transaction-trigger-v08102021/ds-dl-dms-cdc-initial-load-v08102021.py.txt,./ds-dl-dms-cdc-comtek-transaction-trigger-v22122021/ds-dl-dms-cdc-controller-v22122021.py.txt,./ds-dl-dms-cdc-comtek-transaction-trigger-v22122021/ds-dl-dms-cdc-incremental-load-v22122021.py.txt,./ds-dl-dms-cdc-comtek-transaction-trigger-v22122021/ds-dl-dms-cdc-initial-load-v22122021.py.txt,./ds-dl-dms-cdc-mysql-trigger-v08102021/ds-dl-dms-cdc-controller-v08102021.py.txt,./ds-dl-dms-cdc-mysql-trigger-v08102021/ds-dl-dms-cdc-incremental-load-v02032022.py.txt,./ds-dl-dms-cdc-mysql-trigger-v08102021/ds-dl-dms-cdc-initial-load-v08102021.py.txt,./ds-dl-dms-cdc-partner-partnerdashboard-trigger-v14122021/ds-dl-cloudflare-logs-daily-load-v30082021.py,./ds-dl-dms-cdc-partner-partnerdashboard-trigger-v14122021/ds-dl-dms-cdc-entire_bod-incremental-load-v24112021.py,./ds-dl-dms-cdc-partner-partnerdashboard-trigger-v14122021/ds-dl-dms-cdc-omnesys-full-load-v07072021.py
./ds-dl-dms-cdc-comtek-master-trigger-v06062021/ds-dl-dms-cdc-controller-v06062021.py.txt,0,0.832986137,0.993264126,0.294891601,0.800420215,0.927898064,0,0.832986137,0.993264126,0.294891601,0.782251501,0.927898064,0.290129929,0.803486986,0.922819995,0.294891601,0.782251501,0.927898064,1.066708506,0.636006799,0.769986619
./ds-dl-dms-cdc-comtek-master-trigger-v06062021/ds-dl-dms-cdc-incremental-load-v06062021.py.txt,0.832986137,0,0.621705056,0.82031256,0.513194043,0.718720862,0.832986137,0,0.621705056,0.82031256,0.5829639,0.718720862,0.82052659,0.49001163,0.688008341,0.82031256,0.5829639,0.718720862,1.089549525,0.776326865,0.688016931
./ds-dl-dms-cdc-comtek-master-trigger-v06062021/ds-dl-dms-cdc-initial-load-v06062021.py.txt,0.993264126,0.621705056,0,0.98481128,0.752521266,0.485580113,0.993264126,0.621705056,0,0.98481128,0.81016408,0.485580113,0.985097798,0.729014314,0.473362865,0.98481128,0.81016408,0.485580113,1.154313423,0.916525131,0.658636653
./ds-dl-dms-cdc-comtek-master-trigger-v08102021/ds-dl-dms-cdc-controller-v08102021.py.txt,0.294891601,0.82031256,0.98481128,0,0.777849201,0.902454716,0.294891601,0.82031256,0.98481128,0,0.746105915,0.902454716,0.110386097,0.781147532,0.895636043,0,0.746105915,0.902454716,1.037626312,0.540745729,0.745597727
./ds-dl-dms-cdc-comtek-master-trigger-v08102021/ds-dl-dms-cdc-incremental-load-v08102021.py.txt,0.800420215,0.513194043,0.752521266,0.777849201,0,0.59514388,0.800420215,0.513194043,0.752521266,0.777849201,0.380099436,0.59514388,0.782706977,0.088436902,0.590642284,0.777849201,0.380099436,0.59514388,1.060421033,0.591226395,0.735019608
./ds-dl-dms-cdc-comtek-master-trigger-v08102021/ds-dl-dms-cdc-initial-load-v08102021.py.txt,0.927898064,0.718720862,0.485580113,0.902454716,0.59514388,0,0.927898064,0.718720862,0.485580113,0.902454716,0.69723503,0,0.906710017,0.583639626,0.126305644,0.902454716,0.69723503,0,1.071804959,0.711793218,0.720439136
./ds-dl-dms-cdc-comtek-transaction-trigger-v06062021/ds-dl-dms-cdc-controller-v06062021.py.txt,0,0.832986137,0.993264126,0.294891601,0.800420215,0.927898064,0,0.832986137,0.993264126,0.294891601,0.782251501,0.927898064,0.290129929,0.803486986,0.922819995,0.294891601,0.782251501,0.927898064,1.066708506,0.636006799,0.769986619
./ds-dl-dms-cdc-comtek-transaction-trigger-v06062021/ds-dl-dms-cdc-incremental-load-v06062021.py.txt,0.832986137,0,0.621705056,0.82031256,0.513194043,0.718720862,0.832986137,0,0.621705056,0.82031256,0.5829639,0.718720862,0.82052659,0.49001163,0.688008341,0.82031256,0.5829639,0.718720862,1.089549525,0.776326865,0.688016931
./ds-dl-dms-cdc-comtek-transaction-trigger-v06062021/ds-dl-dms-cdc-initial-load-v06062021.py.txt,0.993264126,0.621705056,0,0.98481128,0.752521266,0.485580113,0.993264126,0.621705056,0,0.98481128,0.81016408,0.485580113,0.985097798,0.729014314,0.473362865,0.98481128,0.81016408,0.485580113,1.154313423,0.916525131,0.658636653
./ds-dl-dms-cdc-comtek-transaction-trigger-v08102021/ds-dl-dms-cdc-controller-v08102021.py.txt,0.294891601,0.82031256,0.98481128,0,0.777849201,0.902454716,0.294891601,0.82031256,0.98481128,0,0.746105915,0.902454716,0.110386097,0.781147532,0.895636043,0,0.746105915,0.902454716,1.037626312,0.540745729,0.745597727
./ds-dl-dms-cdc-comtek-transaction-trigger-v08102021/ds-dl-dms-cdc-incremental-load-v02032022.py.txt,0.782251501,0.5829639,0.81016408,0.746105915,0.380099436,0.69723503,0.782251501,0.5829639,0.81016408,0.746105915,0,0.69723503,0.750630162,0.376362581,0.684293599,0.746105915,0,0.69723503,1.079655168,0.617483969,0.733331203
./ds-dl-dms-cdc-comtek-transaction-trigger-v08102021/ds-dl-dms-cdc-initial-load-v08102021.py.txt,0.927898064,0.718720862,0.485580113,0.902454716,0.59514388,0,0.927898064,0.718720862,0.485580113,0.902454716,0.69723503,0,0.906710017,0.583639626,0.126305644,0.902454716,0.69723503,0,1.071804959,0.711793218,0.720439136
./ds-dl-dms-cdc-comtek-transaction-trigger-v22122021/ds-dl-dms-cdc-controller-v22122021.py.txt,0.290129929,0.82052659,0.985097798,0.110386097,0.782706977,0.906710017,0.290129929,0.82052659,0.985097798,0.110386097,0.750630162,0.906710017,0,0.786068374,0.900928048,0.110386097,0.750630162,0.906710017,1.039540989,0.544820185,0.741012736
./ds-dl-dms-cdc-comtek-transaction-trigger-v22122021/ds-dl-dms-cdc-incremental-load-v22122021.py.txt,0.803486986,0.49001163,0.729014314,0.781147532,0.088436902,0.583639626,0.803486986,0.49001163,0.729014314,0.781147532,0.376362581,0.583639626,0.786068374,0,0.57019467,0.781147532,0.376362581,0.583639626,1.062623413,0.595287517,0.72014485
./ds-dl-dms-cdc-comtek-transaction-trigger-v22122021/ds-dl-dms-cdc-initial-load-v22122021.py.txt,0.922819995,0.688008341,0.473362865,0.895636043,0.590642284,0.126305644,0.922819995,0.688008341,0.473362865,0.895636043,0.684293599,0.126305644,0.900928048,0.57019467,0,0.895636043,0.684293599,0.126305644,1.079958051,0.714265486,0.70697512
./ds-dl-dms-cdc-mysql-trigger-v08102021/ds-dl-dms-cdc-controller-v08102021.py.txt,0.294891601,0.82031256,0.98481128,0,0.777849201,0.902454716,0.294891601,0.82031256,0.98481128,0,0.746105915,0.902454716,0.110386097,0.781147532,0.895636043,0,0.746105915,0.902454716,1.037626312,0.540745729,0.745597727
./ds-dl-dms-cdc-mysql-trigger-v08102021/ds-dl-dms-cdc-incremental-load-v02032022.py.txt,0.782251501,0.5829639,0.81016408,0.746105915,0.380099436,0.69723503,0.782251501,0.5829639,0.81016408,0.746105915,0,0.69723503,0.750630162,0.376362581,0.684293599,0.746105915,0,0.69723503,1.079655168,0.617483969,0.733331203
./ds-dl-dms-cdc-mysql-trigger-v08102021/ds-dl-dms-cdc-initial-load-v08102021.py.txt,0.927898064,0.718720862,0.485580113,0.902454716,0.59514388,0,0.927898064,0.718720862,0.485580113,0.902454716,0.69723503,0,0.906710017,0.583639626,0.126305644,0.902454716,0.69723503,0,1.071804959,0.711793218,0.720439136
./ds-dl-dms-cdc-partner-partnerdashboard-trigger-v14122021/ds-dl-cloudflare-logs-daily-load-v30082021.py,1.066708506,1.089549525,1.154313423,1.037626312,1.060421033,1.071804959,1.066708506,1.089549525,1.154313423,1.037626312,1.079655168,1.071804959,1.039540989,1.062623413,1.079958051,1.037626312,1.079655168,1.071804959,0,0.984626557,0.93473342
./ds-dl-dms-cdc-partner-partnerdashboard-trigger-v14122021/ds-dl-dms-cdc-entire_bod-incremental-load-v24112021.py,0.636006799,0.776326865,0.916525131,0.540745729,0.591226395,0.711793218,0.636006799,0.776326865,0.916525131,0.540745729,0.617483969,0.711793218,0.544820185,0.595287517,0.714265486,0.540745729,0.617483969,0.711793218,0.984626557,0,0.713611757
./ds-dl-dms-cdc-partner-partnerdashboard-trigger-v14122021/ds-dl-dms-cdc-omnesys-full-load-v07072021.py,0.769986619,0.688016931,0.658636653,0.745597727,0.735019608,0.720439136,0.769986619,0.688016931,0.658636653,0.745597727,0.733331203,0.720439136,0.741012736,0.72014485,0.70697512,0.745597727,0.733331203,0.720439136,0.93473342,0.713611757,0
